-0.000459318,-0.0008341,21,-0.229685,-0.417097,4000.45,0.403613,11,1,1,0,1,0,0,-50.5,0,0,4001.03,0.165114,11,1,1,0,1
-0.000753819,0.000398829,21,-0.376878,0.199398,3999.66,0.403613,11,2,1,0,1,0,0,-50.50,0,4000.08,0.165114,11,2,1,0,1
-0.000688723,0.000241286,21,-0.344282,0.120615,3999.08,0.403613,11,3,1,0,1,0,0,-50.5,0,0,3999.51,0.165114,11,3,1,0,1
-0.00388522,0.00547445,21,-1.94224,2.7367,3999.23,0.403613,11,4,1,0,1,0,0,-50.5,0,0,3999.67,0.165114,11,4,1,0,1 
-0.000310443,0.000735678,21,-0.155226,0.367849,4000.11,0.403613,11,5,1,0,1,0,0,-50.5,0,0,4000.63,0.165114,11,5,1,0,1
0.00239928,0.00134271,21,1.19975,0.671419,4000.39,0.403613,11,6,1,0,1,0,0,-50.5,0,0,4000.79,0.165114,11,6,1,0,1
-0.00502664,-0.00323407,21,-2.39363,-1.33791,3993.54,0.403613,11,7,1,0,1,0,0,-50.5,0,0,3999.2,0.165114,11,7,1,0,1
0.002213,0.00179128,21,1.10638,0.895538,3999.56,0.403613,11,8,1,0,1,0,0,-50.5,0,0,3999.98,0.165114,11,8,1,0,1
-0.00243962,-0.000662841,21,-1.46633,-0.286917,3998.45,0.403613,11,9,1,0,1,0,0,-50.5,0,0,3999.27,0.165114,11,9,1,0,1
0.00248833,-0.00180131,21,1.24421,-0.900683,4000.13,0.403613,11,10,1,0,1,0,0,-50.5,0,0,4000.55,0.165114,11,10,1,0,1
