First Detector:

11 0.0 0.0 4001.03 4001.0300326317224
11 0.0 0.0 4000.08 4000.080032639472
11 0.0 0.0 3999.51 3999.510032644124
11 0.0 0.0 3999.67 3999.670032642818
11 0.0 0.0 4000.63 4000.6300326349847
11 0.0 0.0 4000.79 4000.7900326336794
11 0.0 0.0 3999.2 3999.200032646654
11 0.0 0.0 3999.98 3999.980032640288
11 0.0 0.0 3999.27 3999.2700326460827
11 0.0 0.0 4000.55 4000.5500326356378



Second Detector - after scattering:

11 -0.229685 -0.41709700000000005 4000.45 4000.450060973903
11 -0.37687800000000005 0.199398 3999.66 3999.6600553694047
11 -0.34428200000000003 0.12061500000000001 3999.08 3999.0800492862195
11 -1.9422400000000002 2.7367 3999.23 3999.2314406450782
11 -0.155226 0.367849 4000.11 4000.110052564679
11 1.19975 0.671419 4000.39 4000.390268889341
11 -2.39363 -1.33791 3993.54 3993.5409741467215
11 1.10638 0.895538 3999.56 3999.5602859296937
11 -1.46633 -0.28691700000000003 3998.45 3998.450311816571
11 1.24421 -0.900683 4000.13 4000.1303275405153
